,Capital or Revenue,Directorate,Transaction Number,Date,Service Area,Expenses Type,Amount,Supplier Name
4669,Revenue,Economy & Environment,5105637096,20.11.2013,Coastal Management,Mobile Telecoms,7.00,ORANGE PERSONAL COMMUNICATION
4670,Revenue,Economy & Environment,5105638642,27.11.2013,Ferry Management,Fixed Telephones,38.83,ORANGE PERSONAL COMMUNICATION
4671,Revenue,Economy & Environment,5105635018,06.11.2013,Ferry Management,Fixed Telephones,20.29,ORANGE PERSONAL COMMUNICATION
4672,Revenue,Economy & Environment,5105637096,20.11.2013,Ferry Management,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4673,Revenue,Economy & Environment,5105637096,20.11.2013,Ferry Management,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4674,Revenue,Economy & Environment,5105637096,20.11.2013,Transport contracts,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4675,Revenue,Economy & Environment,5105637096,20.11.2013,Environment officers,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4676,Revenue,Economy & Environment,5105637096,20.11.2013,Environment officers,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4677,Revenue,Economy & Environment,5105637096,20.11.2013,Environment officers,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4678,Revenue,Economy & Environment,5105637096,20.11.2013,Environment officers,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4679,Revenue,Economy & Environment,5105637096,20.11.2013,School Reorganisation Consultation Costs,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4680,Revenue,Economy & Environment,5105637096,20.11.2013,School Reorganisation Consultation Costs,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4681,Revenue,Childrens Services,5105637096,20.11.2013,Service Management (Children & Families),Mobile Telecoms,8.53,ORANGE PERSONAL COMMUNICATION
4682,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Strengthening Families,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4683,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Strengthening Families,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4684,Capital,Community Wellbeing & Social Care,5105637096,20.11.2013,Strengthening Families,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4685,Capital,Community Wellbeing & Social Care,5105637096,20.11.2013,Strengthening Families,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4686,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Strengthening Families,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4687,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Strengthening Families,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4688,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Strengthening Families,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4689,Revenue,Childrens Services,5105635114,22.11.2013,Family Information Zone,Mobile Telecoms,12.30,ORANGE PERSONAL COMMUNICATION
4690,Revenue,Childrens Services,5105638335,27.11.2013,Family Information Zone,Mobile Telecoms,12.00,ORANGE PERSONAL COMMUNICATION
4691,Revenue,Childrens Services,5105637096,20.11.2013,Disabled Childrens Team,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4692,Revenue,Childrens Services,5105637096,20.11.2013,Disabled Childrens Team,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4693,Revenue,Childrens Services,5105637096,20.11.2013,Disabled Childrens Team,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4694,Revenue,Childrens Services,5105637096,20.11.2013,Disabled Childrens Team,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4695,Revenue,Childrens Services,5105637096,20.11.2013,Contact & Assessment Team,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4696,Revenue,Childrens Services,5105637096,20.11.2013,Contact & Assessment Team,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4697,Revenue,Childrens Services,5105637096,20.11.2013,Contact & Assessment Team,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4698,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Home Library Service,Mobile Telecoms,7.00,ORANGE PERSONAL COMMUNICATION
4699,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Museums & Collections Management,Mobile Telecoms,2.88,ORANGE PERSONAL COMMUNICATION
4700,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4701,Revenue,Community Wellbeing & Social Care,5105638633,27.11.2013,Homecare Reablement,Mobile Telecoms,35.00,ORANGE PERSONAL COMMUNICATION
4702,Revenue,Community Wellbeing & Social Care,5105638537,27.11.2013,Homecare Reablement,Mobile Telecoms,35.00,ORANGE PERSONAL COMMUNICATION
4703,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Mental Health Team,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4704,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Mental Health Team,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4705,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Mental Health Team,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4706,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4707,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4708,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4709,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4710,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4711,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4712,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4713,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4714,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4715,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4716,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4717,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4718,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4719,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4720,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4721,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4722,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4723,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4724,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4725,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4726,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4727,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4728,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4729,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4730,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4731,Capital,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4732,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4733,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4734,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4735,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Homecare Reablement,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4736,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Deputyship Office,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4737,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Wightcare,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4738,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Wightcare,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4739,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Wightcare,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4740,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Wightcare,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4741,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Wightcare,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4742,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Wightcare,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4743,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Wightcare,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4744,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Wightcare,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4745,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Wightcare,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4746,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Wightcare,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4747,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Wightcare,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4748,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Wightcare,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4749,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Wightcare,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4750,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Wightcare,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4751,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Wightcare,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4752,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Wightcare,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4753,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Wightcare,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4754,Revenue,Community Wellbeing & Social Care,5105635015,06.11.2013,Safeguarding Adults,Mobile Telecoms,119.00,ORANGE PERSONAL COMMUNICATION
4755,Revenue,Resources,5105637096,20.11.2013,ICT Compliance & Infrastructure,Mobile Telecoms,4.20,ORANGE PERSONAL COMMUNICATION
4756,Revenue,Resources,5105637096,20.11.2013,ICT Compliance & Infrastructure,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4757,Revenue,Resources,5105637096,20.11.2013,Human Resources,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4758,Revenue,Resources,5105637096,20.11.2013,Human Resources,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4759,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4760,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4761,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4762,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4763,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4764,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4765,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4766,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4767,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4768,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4769,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4770,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4771,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4772,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4773,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4774,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4775,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4776,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4777,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,8.13,ORANGE PERSONAL COMMUNICATION
4778,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4779,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,8.20,ORANGE PERSONAL COMMUNICATION
4780,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4781,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4782,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4783,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4784,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4785,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4786,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4787,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4788,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4789,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4790,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4791,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4792,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4793,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4794,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4795,Revenue,Resources,5105637096,20.11.2013,Democratic Representation & Management,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4796,Revenue,Resources,5105634187,06.11.2013,Democratic Representation & Management,Mobile Telecoms,-135.00,ORANGE PERSONAL COMMUNICATION
4797,Revenue,Resources,5105634187,06.11.2013,Democratic Representation & Management,Mobile Telecoms,-135.00,ORANGE PERSONAL COMMUNICATION
4798,Revenue,Resources,5105634187,06.11.2013,Democratic Representation & Management,Mobile Telecoms,-135.00,ORANGE PERSONAL COMMUNICATION
4799,Revenue,Resources,5105634187,06.11.2013,Democratic Representation & Management,Mobile Telecoms,-135.00,ORANGE PERSONAL COMMUNICATION
4800,Revenue,Resources,5105634187,06.11.2013,Democratic Representation & Management,Mobile Telecoms,-135.00,ORANGE PERSONAL COMMUNICATION
4801,Revenue,Resources,5105634187,06.11.2013,Democratic Representation & Management,Mobile Telecoms,-135.00,ORANGE PERSONAL COMMUNICATION
